time,"coordinates [x,y]",elevation,azimuth
20250901_100430,"[722, 1418]",46,333
20250901_100440,"[699, 1417]",45,330
20250901_100450,"[645, 1390]",45,324
20250901_100500,"[693, 1389]",47,328
20250901_100510,"[745, 1410]",48,334
20250901_100520,"[717, 1396]",48,331
20250901_100530,"[707, 1424]",45,331
20250901_100540,"[781, 1480]",43,341
20250901_100550,"[781, 1426]",48,339
20250901_100600,"[746, 1387]",50,333
20250901_100610,"[727, 1349]",52,329
20250901_100620,"[636, 1311]",50,317
20250901_100630,"[722, 1385]",49,331
20250901_100640,"[632, 1329]",48,318
20250901_100650,"[633, 1266]",52,313
20250901_100700,"[716, 1297]",55,324
20250901_100710,"[755, 1386]",50,334
20250901_100720,"[715, 1469]",42,334
20250901_100730,"[749, 1456]",44,337
20250901_100740,"[755, 1378]",51,334
20250901_100750,"[791, 1406]",50,339
20250901_100800,"[716, 1423]",46,332
20250901_100810,"[775, 1453]",45,339
20250901_100820,"[757, 1451]",45,338
20250901_100830,"[716, 1394]",48,331
20250901_100840,"[683, 1380]",47,327
20250901_100850,"[733, 1382]",50,332
20250901_100900,"[756, 1309]",56,330
20250901_100910,"[818, 1262]",62,335
20250901_100920,"[810, 1303]",59,336
20250901_100930,"[735, 1411]",47,333
20250901_100940,"[736, 1473]",42,336
20250901_100950,"[772, 1421]",48,338
20250901_101000,"[675, 1450]",42,330
20250901_101010,"[607, 1416]",41,322
20250901_101020,"[559, 1303]",45,311
20250901_101030,"[769, 1301]",57,331
20250901_101040,"[809, 1360]",54,339
20250901_101050,"[727, 1367]",50,330
20250901_101100,"[696, 1353]",50,326
20250901_101110,"[714, 1352]",51,328
20250901_101120,"[751, 1388]",50,334
20250901_101130,"[768, 1401]",49,336
20250901_101140,"[709, 1347]",51,327
20250901_101150,"[707, 1332]",52,326
20250901_101200,"[686, 1275]",55,319
20250901_101210,"[739, 1268]",58,324
20250901_101220,"[765, 1296]",57,330
20250901_101230,"[824, 1312]",58,339
20250901_101240,"[830, 1315]",58,340
20250901_101250,"[791, 1358]",54,337
20250901_101300,"[692, 1461]",42,332
20250901_101310,"[743, 1435]",46,335
20250901_101320,"[778, 1424]",48,339
20250901_101330,"[793, 1449]",46,341
20250901_101340,"[789, 1389]",51,338
20250901_101350,"[832, 1344]",56,342
20250901_101400,"[874, 1288]",62,345
20250901_101410,"[864, 1263]",63,342
20250901_101420,"[770, 1319]",56,332
20250901_101430,"[737, 1313]",55,328
20250901_101440,"[685, 1367]",48,326
20250901_101450,"[605, 1365]",44,319
20250901_101500,"[661, 1400]",45,326
20250901_101510,"[751, 1302]",56,329
20250901_101520,"[654, 1332]",49,321
20250901_101530,"[1151, 757]",67,137
20250901_101540,"[754, 1419]",47,336
20250901_101550,"[1151, 757]",67,137
20250901_101600,"[726, 1370]",50,330
20250901_101610,"[677, 1415]",45,328
20250901_101620,"[712, 1413]",46,331
20250901_101630,"[770, 1374]",52,335
20250901_101640,"[776, 1360]",53,335
20250901_101650,"[743, 1373]",51,332
