time,"coordinates [x,y]",x_deviation,y_deviation,valid
20250901_101530,"[1151, 757]",452.85,-577.992,False
20250901_101550,"[1151, 757]",452.85,-577.992,False
20250901_103920,"[554, 771]",-144.14999999999998,-563.992,False
20250901_105510,"[754, 861]",55.85000000000002,-473.99199999999996,False
20250901_105840,"[1097, 647]",398.85,-687.992,False
20250901_111640,"[1074, 724]",375.85,-610.992,False
20250901_111700,"[1073, 724]",374.85,-610.992,False
20250901_111710,"[1066, 740]",367.85,-594.992,False
