time,"coordinates [x,y]",elevation,azimuth
20250829_095410,"[1717, 1168]",22,345
20250829_095420,"[1704, 1138]",24,347
20250829_095430,"[1725, 1125]",22,348
20250829_095440,"[1730, 1128]",21,348
20250829_095450,"[1706, 1152]",23,346
20250829_095500,"[1727, 1130]",22,348
20250829_095510,"[1744, 1141]",20,347
20250829_095520,"[1741, 1117]",21,349
20250829_095530,"[1729, 1079]",22,351
20250829_095540,"[1732, 1053]",23,353
20250829_095550,"[1713, 1069]",24,352
20250829_095600,"[1723, 1106]",23,349
20250829_095610,"[1725, 1092]",23,350
20250829_095620,"[1709, 1114]",24,348
20250829_095630,"[1662, 1151]",27,345
20250829_095640,"[1688, 1150]",25,345
20250829_095650,"[1701, 1152]",24,345
20250829_095700,"[1728, 1145]",21,346
20250829_095710,"[1719, 1119]",23,348
20250829_095720,"[1714, 1149]",23,346
20250829_095730,"[1715, 1151]",22,346
20250829_095740,"[1722, 1174]",21,344
20250829_095750,"[1687, 1193]",24,342
20250829_095800,"[1658, 1206]",26,341
20250829_095810,"[1681, 1175]",25,343
20250829_095820,"[1688, 1157]",25,345
20250829_095830,"[1695, 1156]",24,345
20250829_095840,"[1716, 1115]",23,348
20250829_095850,"[1735, 1128]",21,348
20250829_095900,"[1762, 1114]",19,349
20250829_095910,"[1745, 1148]",20,347
20250829_095920,"[1690, 1150]",25,345
20250829_095930,"[1666, 1160]",27,344
20250829_095940,"[1669, 1205]",25,341
20250829_095950,"[1671, 1208]",25,341
20250829_100000,"[1661, 1228]",25,339
20250829_100010,"[1661, 1215]",26,340
20250829_100020,"[1690, 1200]",23,342
20250829_100030,"[1698, 1194]",23,342
20250829_100040,"[1706, 1186]",22,343
20250829_100050,"[1669, 1160]",26,344
20250829_100100,"[1672, 1181]",26,343
20250829_100110,"[1704, 1195]",22,342
20250829_100120,"[1715, 1174]",22,344
20250829_100130,"[1690, 1178]",24,343
20250829_100140,"[1650, 1156]",28,344
20250829_100150,"[1671, 1121]",27,347
20250829_100200,"[1691, 1116]",25,348
20250829_100210,"[1714, 1149]",23,346
20250829_100220,"[1718, 1175]",22,344
20250829_100230,"[1718, 1163]",22,345
20250829_100240,"[1725, 1152]",21,346
20250829_100250,"[1695, 1134]",25,347
20250829_100300,"[1695, 1152]",24,345
20250829_100310,"[1711, 1164]",22,345
20250829_100320,"[1731, 1127]",21,348
20250829_100330,"[1728, 1125]",22,348
20250829_100340,"[1728, 1119]",22,348
20250829_100350,"[1737, 1122]",21,348
20250829_100400,"[1736, 1125]",21,348
20250829_100410,"[1743, 1115]",20,349
20250829_100420,"[1735, 1091]",22,350
20250829_100430,"[1735, 1081]",22,351
20250829_100440,"[1704, 1071]",25,352
20250829_100450,"[1715, 1116]",23,348
20250829_100500,"[1737, 1141]",21,347
20250829_100510,"[1763, 1144]",18,347
20250829_100520,"[1772, 1117]",18,349
20250829_100530,"[1793, 1084]",16,352
20250829_100540,"[1791, 1050]",17,354
20250829_100550,"[1802, 1018]",16,356
20250829_100600,"[1775, 1018]",19,356
20250829_100610,"[1785, 1023]",18,356
20250829_100620,"[1796, 1016]",16,356
20250829_100630,"[1791, 1012]",17,356
20250829_100640,"[1773, 1005]",19,357
20250829_100650,"[1754, 989]",21,358
20250829_100700,"[1716, 999]",25,357
20250829_100710,"[1660, 1083]",29,350
20250829_100720,"[1637, 1108]",31,348
20250829_100730,"[1663, 1130]",28,346
20250829_100740,"[1696, 1127]",25,347
20250829_100750,"[1725, 1119]",22,348
20250829_100800,"[1749, 1092]",20,350
20250829_100810,"[1776, 1048]",18,354
20250829_100820,"[1792, 1024]",17,356
20250829_100830,"[1810, 1016]",15,356
20250829_100840,"[1807, 1010]",15,357
20250829_100850,"[1816, 1016]",14,356
20250829_100900,"[1809, 1039]",15,355
20250829_100910,"[1801, 1028]",16,355
20250829_100920,"[1809, 1034]",15,355
20250829_100930,"[1786, 1044]",17,354
20250829_100940,"[1759, 1035]",20,355
20250829_100950,"[1717, 1080]",24,351
20250829_101000,"[1744, 1045]",21,354
20250829_101010,"[1768, 1034]",19,355
20250829_101020,"[1764, 1096]",19,350
20250829_101030,"[1754, 1079]",20,351
20250829_101040,"[1747, 1077]",21,352
20250829_101050,"[1759, 1085]",19,351
