time,altitude
2025-09-03 08:19:19.770944000,
2025-09-03 08:19:47.711036928,
2025-09-03 08:20:18.230963968,-3.2819109103313067
2025-09-03 08:20:46.160919040,-2.915458186974904
2025-09-03 08:21:14.090998784,-2.688562720048745
2025-09-03 08:21:42.030947840,-3.5952102166483
2025-09-03 08:22:09.960946944,-3.4686871968589292
2025-09-03 08:22:37.891004160,-3.523541831536811
2025-09-03 08:23:05.820955904,-3.0276768900438533
2025-09-03 08:23:33.750947840,-3.364772802619692
2025-09-03 08:24:01.660965888,-3.7836304406744237
2025-09-03 08:24:29.580952832,-3.4386315415161572
2025-09-03 08:24:57.511040000,-3.3019752491193897
2025-09-03 08:25:36.001000960,-3.844329194512869
2025-09-03 08:26:03.930955776,-3.485078261743093
2025-09-03 08:26:31.851033856,-3.67704490590632
2025-09-03 08:26:59.780968960,-3.7636741102935085
2025-09-03 08:27:27.710972160,-3.390327027509003
2025-09-03 08:27:55.640950016,-3.754233540071404
2025-09-03 08:28:23.561005056,-3.1119797894058583
2025-09-03 08:28:51.491079168,-2.9146879317561023
2025-09-03 08:29:19.420957184,-2.6072316492275194
2025-09-03 08:29:47.340955904,-3.8453506454034216
2025-09-03 08:30:16.050946048,-3.7135414154166075
2025-09-03 08:30:43.980958976,-3.361408193727426
2025-09-03 08:31:11.910988032,-3.813456539365015
2025-09-03 08:31:39.831024896,-3.353131215383809
2025-09-03 08:32:07.760945152,-3.5961880433451334
2025-09-03 08:32:35.690983168,-3.8519272398775453
2025-09-03 08:33:03.620965120,-3.8198836474480293
2025-09-03 08:33:31.550970112,-3.667935186685023
2025-09-03 08:33:59.480947968,-3.69977902724727
2025-09-03 08:34:27.410969856,-4.14307634455799
2025-09-03 08:34:55.340948992,-4.240976754145008
2025-09-03 08:35:30.480978944,-3.797815128102834
2025-09-03 08:35:58.421027072,-2.5916783167347845
2025-09-03 08:36:26.350948096,-2.870905418534466
2025-09-03 08:36:54.270960128,-3.59061563749428
2025-09-03 08:37:22.200993024,-2.913413974174901
2025-09-03 08:37:50.130916096,-3.2751205295863626
2025-09-03 08:38:18.060945920,-3.2723138096941247
2025-09-03 08:38:45.980953088,-3.108088444889506
2025-09-03 08:39:13.910952192,-3.8030904276510644
2025-09-03 08:39:41.840966912,-3.3774952185818385
