time,altitude
2025-09-03 12:23:55.810969088,
2025-09-03 12:24:23.750968064,3.9009898838467483
2025-09-03 12:24:51.681001984,4.630657972929401
2025-09-03 12:25:22.710974976,4.647638208379593
2025-09-03 12:25:50.640954880,0.4963260181951563
2025-09-03 12:26:18.581007104,-0.40500819069788285
2025-09-03 12:26:46.521019904,-0.1510152835264235
2025-09-03 12:27:14.460958976,-0.8520962901365595
2025-09-03 12:27:42.400975104,-1.3268931105421673
2025-09-03 12:28:10.340965888,-1.45225532648683
2025-09-03 12:28:38.290990080,-1.8549355350874561
2025-09-03 12:29:06.240974848,-0.9504987630435449
2025-09-03 12:29:34.180952064,-2.1235198623750104
2025-09-03 12:30:02.130958080,-1.8440496331299148
2025-09-03 12:30:46.330939136,-2.059323763638975
2025-09-03 12:31:14.280955136,-1.8592005944131198
2025-09-03 12:31:42.230945024,-1.6702974595741185
2025-09-03 12:32:10.180973056,-1.8829667677762174
2025-09-03 12:32:38.140934912,-2.1051810444763377
2025-09-03 12:33:06.091003904,-1.2869808614221214
2025-09-03 12:33:34.031014912,-2.0053138987133936
2025-09-03 12:34:01.980973056,-1.6200853612548225
2025-09-03 12:34:29.930957056,-2.8754644110549314
2025-09-03 12:34:57.870981888,-1.7903838269250496
2025-09-03 12:35:36.350945024,-3.166203206136195
2025-09-03 12:36:04.290993920,-2.85598035638378
2025-09-03 12:36:32.230953984,-1.847310875719222
2025-09-03 12:37:00.170973184,0.32957800888689576
2025-09-03 12:37:28.111005184,-2.133234136301696
2025-09-03 12:37:56.050952960,15.751039185591592
2025-09-03 12:38:23.991010816,20.70685313006761
2025-09-03 12:38:51.930955008,19.810017848002314
2025-09-03 12:39:19.870981888,18.474574973801865
2025-09-03 12:39:47.810964992,-2.328079904628554
2025-09-03 12:40:18.320952064,-1.7707948449489812
2025-09-03 12:40:46.240983040,-1.1175546901573106
2025-09-03 12:41:14.170948096,4.336278333506936
2025-09-03 12:41:42.100996096,17.744079458452035
2025-09-03 12:42:10.040955136,32.576128434785595
2025-09-03 12:42:37.980987904,42.25552797974676
2025-09-03 12:43:05.920955904,52.57251028118345
2025-09-03 12:43:33.850949120,60.575485834154854
2025-09-03 12:44:01.791006976,99.23710110793472
2025-09-03 12:44:29.730951168,108.44560513784698
2025-09-03 12:44:57.661052928,121.48221701209427
2025-09-03 12:45:36.170947072,120.70450653401375
2025-09-03 12:46:04.100943104,122.75760420092266
2025-09-03 12:46:32.040967936,132.5051259889075
2025-09-03 12:46:59.980969984,110.93604819143617
2025-09-03 12:47:27.910956032,122.11109924207362
2025-09-03 12:47:55.830955008,126.2554829677521
2025-09-03 12:48:23.760946944,125.4814764522971
2025-09-03 12:48:51.691015936,126.31872754939751
2025-09-03 12:49:19.630963968,131.90306494957198
2025-09-03 12:49:47.570981120,132.95629177666046
2025-09-03 12:50:16.700968960,121.17907596001393
2025-09-03 12:50:44.640996864,121.08246232987399
2025-09-03 12:51:12.570990080,117.64849598446976
2025-09-03 12:51:40.511058176,121.62691679808582
2025-09-03 12:52:08.440957952,122.30034116065578
2025-09-03 12:52:36.360974080,116.40773460549427
2025-09-03 12:53:04.281060096,100.34895047425225
2025-09-03 12:53:32.210987008,96.53277148234457
2025-09-03 12:54:00.150959104,106.13559364701035
2025-09-03 12:54:28.091020032,93.00694349272608
2025-09-03 12:54:56.020956160,98.6641842754077
2025-09-03 12:55:30.960953088,100.60086282595229
2025-09-03 12:55:58.910974976,99.30068569556637
2025-09-03 12:56:26.851026944,104.98158132173839
2025-09-03 12:56:54.791009024,105.29567132520457
2025-09-03 12:57:22.720962048,119.31688570896154
2025-09-03 12:57:50.640988160,114.36603708863603
2025-09-03 12:58:18.580979200,120.96212584532486
2025-09-03 12:58:46.521050880,115.90570814431551
2025-09-03 12:59:14.470951168,113.40779162763288
2025-09-03 12:59:42.420957184,113.21603766764778
2025-09-03 13:00:12.380958976,102.61830580491022
2025-09-03 13:00:40.310951936,87.69956858084792
2025-09-03 13:01:08.250953984,113.09267761857475
2025-09-03 13:01:36.200995072,102.17427753089882
2025-09-03 13:02:04.160967168,108.50696861578379
2025-09-03 13:02:32.100958976,108.01658283750375
2025-09-03 13:03:00.050966016,91.60315340104756
2025-09-03 13:03:28.001004032,104.06971017796356
2025-09-03 13:03:55.940967936,102.2687352122194
2025-09-03 13:04:23.890983936,93.71563385950346
2025-09-03 13:04:51.830984960,113.83769504225407
2025-09-03 13:05:22.860971008,117.87345768199748
2025-09-03 13:05:50.800995072,119.50140069768813
2025-09-03 13:06:18.730957056,110.81385483654344
2025-09-03 13:06:46.650955008,115.8701109272674
2025-09-03 13:07:14.570998016,111.71147401954234
2025-09-03 13:07:42.511063040,105.64642453151414
2025-09-03 13:08:10.440947968,114.38746258030766
2025-09-03 13:08:38.380972032,106.21354635829283
2025-09-03 13:09:06.310974976,107.71216751409011
2025-09-03 13:09:34.250989056,114.1266435409589
2025-09-03 13:10:02.190990848,99.65126907490469
2025-09-03 13:10:46.360954112,116.99290147201683
2025-09-03 13:11:14.300971008,101.51558834783808
2025-09-03 13:11:42.240955136,101.02911655519986
2025-09-03 13:12:10.191015936,113.70267916332182
2025-09-03 13:12:38.130969088,103.55973622407227
2025-09-03 13:13:06.070972928,107.58771223262346
2025-09-03 13:13:34.011043072,96.59548760629171
2025-09-03 13:14:01.930968064,102.90258330516635
2025-09-03 13:14:29.870966016,106.36026479955467
2025-09-03 13:14:57.811042048,108.79008658133596
2025-09-03 13:15:36.260957952,97.00323732718229
2025-09-03 13:16:04.210963968,107.3477257746139
