S 25/09/01 12:17:08
D 1300 116.45  43.00
D 1305 112.40  43.30
D 1310 110.71  41.45
D 1315 110.35  41.78
D 1320 108.68  42.97
D 1325 107.18  41.03
D 1330 105.49  37.11
D 1335 110.58  40.57
D 1340 112.23  42.81
D 1345 113.11  46.21
D 1350 112.18  48.30
D 1355 115.39  49.05
D 1360 117.95  47.89
D 1365 114.08  46.89
D 1370 112.50  46.96
D 1375 109.11  41.50
D 1380 110.04  40.21
D 1385 108.63  44.21
D 1390 108.72  45.66
D 1395 112.81  44.76
D 1400 113.08  45.40
D 1405 114.83  44.78
D 1410 113.93  42.48
D 1415 121.05  43.20
D 1420 122.13  42.45
D 1425 122.60  42.34
D 1430 122.97  42.39
D 1435 118.83  42.98
D 1440 110.78  44.51
D 1445 111.30  46.13
D 1450 115.63  47.13
D 1455 119.20  48.24
D 1460 119.95  47.28
D 1465 117.92  45.08
D 1470 120.50  42.76
D 1475 119.29  43.92
D 1480 113.76  42.76
D 1485 111.39  43.18
D 1490 110.72  43.62
D 1495 111.60  45.65
D 1500 114.88  48.43
D 1505 119.41  48.12
D 1510 116.51  46.90
D 1515 113.95  45.95
D 1520 104.57  44.06
D 1525 107.32  43.75
D 1530 109.54  43.80
D 1535 106.50  45.86
D 1540 112.71  48.29
D 1545 109.95  47.27
D 1550 104.64  47.67
D 1555 102.36  47.76
D 1560 107.00  48.95
D 1565 117.85  47.67
D 1570 120.35  50.17
D 1575 113.31  50.43
D 1580 109.84  49.15
D 1585 109.11  46.36
D 1590 106.90  47.63
D 1595 107.41  46.39
D 1600 110.47  48.60
D 1605 108.01  46.26
D 1610 104.11  45.32
D 1615 107.35  43.62
D 1620 107.90  44.31
D 1625 111.95  42.01
D 1630 115.42  40.09
D 1635 119.45  41.30
D 1640 120.60  42.13
D 1645 121.49  42.73
D 1650 116.24  44.06
D 1655 116.16  43.98
D 1660 115.45  44.45
D 1665 116.86  44.27
D 1670 116.67  46.95
D 1675 117.20  47.24
D 1680 119.73  45.84
D 1685 120.61  47.75
D 1690 123.32  43.96
D 1695 127.06  42.13
D 1700 130.69  40.97
D 1705 127.17  39.85
D 1710 123.71  41.68
D 1715 116.79  40.35
D 1720 120.38  39.65
D 1725 118.32  40.86
D 1730 121.22  44.07
D 1735 116.71  44.27
D 1740 113.08  45.93
D 1745 111.03  47.00
D 1750 117.27  46.33
D 1755 116.51  46.13
D 1760 118.25  40.84
D 1765 119.45  41.20
D 1770 120.24  41.07
D 1775 119.20  41.66
D 1780 120.55  42.53
D 1785 121.50  43.70
D 1790 118.13  46.40
D 1795 111.04  48.58
D 1800 109.71  48.18
D 1805 116.02  50.15
D 1810 119.56  48.50
D 1815 120.11  45.63
D 1820 123.15  42.91
D 1825 121.44  43.33
D 1830 118.21  46.70
D 1835 115.58  45.14
D 1840 118.65  43.12
D 1845 122.59  43.63
D 1850 124.14  44.33
D 1855 117.39  43.84
D 1860 110.97  41.80
D 1865 109.05  39.87
D 1870 113.11  40.50
D 1875 120.21  40.01
D 1880 124.58  40.16
D 1885 123.87  43.33
D 1890 114.21  47.02
D 1895 110.58  44.89
D 1900 109.80  44.67
D 1905 110.46  47.18
D 1910 100.72  47.25
D 1915  95.19  45.43
D 1920  99.16  46.87
D 1925 106.16  46.96
D 1930 113.33  45.84
D 1935 117.10  46.27
D 1940 113.25  45.69
D 1945 113.07  43.30
D 1950 110.71  43.58
D 1955 110.52  42.92
D 1960 111.58  42.15
D 1965 117.75  42.98
D 1970 113.35  44.61
D 1975 112.85  44.83
D 1980 110.45  45.49
D 1985 118.15  46.02
D 1990 123.49  45.22
D 1995 126.00  43.28
D 2000 125.55  43.19
D 2005 127.59  44.55
D 2010 129.96  45.16
D 2015 126.80  47.49
D 2020 127.93  48.78
D 2025 129.56  47.46
D 2030 129.18  49.90
D 2035 129.33  49.54
D 2040 133.39  48.78
D 2045 134.06  46.02
D 2050 134.85  45.97
D 2055 131.04  41.80
D 2060 128.18  43.15
D 2065 126.18  44.40
D 2070 127.83  43.91
D 2075 127.56  43.52
D 2080 128.42  43.62
D 2085 126.73  48.72
D 2090 125.57  50.90
D 2095 124.48  53.04
D 2100 128.47  52.91
D 2105 132.85  56.00
D 2110 136.30  53.26
D 2115 134.06  53.23
D 2120 131.51  50.28
D 2125 129.08  48.14
D 2130 124.87  47.44
D 2135 120.06  45.49
D 2140 118.52  45.65
D 2145 120.32  45.40
D 2150 120.77  46.96
D 2155 120.90  46.94
D 2160 111.51  47.17
D 2165 102.75  44.79
D 2170 103.70  42.14
D 2175 109.96  41.61
D 2180 110.01  41.04
D 2185 109.74  40.43
D 2190 113.64  42.01
D 2195 113.39  42.74
D 2200 113.69  40.45
D 2205 115.07  40.19
D 2210 119.35  40.60
D 2215 122.30  41.16
D 2220 125.13  40.45
D 2225 121.18  40.83
D 2230 113.50  45.24
D 2235 105.77  49.69
D 2240 103.95  49.46
D 2245 105.41  46.96
D 2250 106.82  45.61
D 2255 109.97  43.12
D 2260 110.74  41.67
D 2265 113.31  39.78
D 2270 116.74  37.03
D 2275 118.47  37.38
D 2280 117.53  38.66
D 2285 117.47  39.62
D 2290 116.86  38.95
D 2295 116.77  37.45
D 2300 122.75  38.40
D 2305 123.73  39.15
D 2310 121.07  41.87
D 2315 120.01  44.98
D 2320 117.48  46.58
D 2325 119.50  47.57
D 2330 121.58  47.17
D 2335 123.20  46.87
D 2340 120.61  48.39
D 2345 115.33  48.32
D 2350 115.17  46.68
D 2355 117.61  50.17
D 2360 113.86  53.21
D 2365 112.60  52.26
D 2370 115.73  46.73
D 2375 120.31  43.93
D 2380 121.05  42.23
D 2385 121.32  43.35
D 2390 122.81  44.21
D 2395 122.59  42.26
D 2400 123.11  39.28
D 2405 123.04  41.90
D 2410 122.94  45.53
D 2415 117.16  47.90
D 2420 111.16  45.72
D 2425 114.72  48.26
D 2430 115.17  49.24
D 2435 113.17  49.23
D 2440 111.50  48.76
D 2445 111.33  47.09
D 2450 111.41  46.24
D 2455 111.58  45.56
D 2460 112.16  46.49
D 2465 116.32  48.56
D 2470 120.42  46.20
D 2475 119.21  41.99
D 2480 122.38  39.65
D 2485 121.02  37.46
D 2490 120.44  38.70
D 2495 121.16  39.81
D 2500 122.10  40.10
D 2505 122.89  38.23
D 2510 126.16  37.63
D 2515 130.14  37.63
D 2520 129.41  40.36
D 2525 129.50  41.06
D 2530 128.30  41.38
D 2535 126.72  43.08
D 2540 122.70  45.74
D 2545 126.46  47.19
D 2550 128.61  46.46
D 2555 129.51  48.76
D 2560 127.31  49.79
D 2565 127.73  50.45
D 2570 130.38  50.07
D 2575 129.78  47.26
D 2580 127.55  44.17
D 2585 126.70  43.60
D 2590 126.52  42.98
D 2595 122.88  41.25
D 2600 118.82  41.13
D 2605 116.80  40.46
D 2610 119.12  42.18
D 2615 124.46  43.60
D 2620 126.15  43.43
D 2625 126.92  44.74
D 2630 127.55  45.81
D 2635 124.01  46.23
D 2640 125.13  47.19
D 2645 123.87  48.24
D 2650 117.96  49.05
D 2655 112.54  51.02
D 2660 114.88  49.18
D 2665 112.86  48.00
D 2670 106.01  46.39
D 2675 105.74  47.80
D 2680 108.68  49.26
D 2685 109.74  49.58
D 2690 113.61  50.29
D 2695 115.43  50.19
D 2700 116.38  49.26
D 2705 118.75  45.61
D 2710 120.56  43.86
D 2715 122.14  46.78
D 2720 123.08  46.77
D 2725 127.47  43.30
D 2730 128.35  41.60
D 2735 127.37  37.99
D 2740 126.87  37.43
D 2745 120.18  39.95
D 2750 117.83  41.98
D 2755 118.13  41.20
D 2760 120.87  40.15
D 2765 119.06  41.17
D 2770 118.87  41.93
D 2775 117.12  42.05
D 2780 116.70  42.38
D 2785 118.76  40.03
D 2790 118.79  40.45
D 2795 115.99  40.20
D 2800 116.83  37.86
D 2805 117.17  39.37
D 2810 115.44  40.74
D 2815 117.77  41.60
D 2820 121.10  42.63
D 2825 126.66  43.89
D 2830 130.37  42.85
D 2835 131.56  41.92
D 2840 131.19  41.80
D 2845 131.20  41.51
D 2850 132.58  40.33
D 2855 133.52  40.66
D 2860 132.65  39.46
D 2865 128.18  41.94
D 2870 125.73  45.71
D 2875 127.88  45.62
D 2880 132.79  43.99
D 2885 134.69  45.29
D 2890 135.76  39.60
D 2895 134.35  38.92
D 2900 133.03  38.97
D 2905 133.54  41.58
D 2910 134.90  44.73
D 2915 130.49  47.13
D 2920 124.75  48.58
D 2925 119.39  46.60
D 2930 116.29  45.14
D 2935 115.24  44.73
D 2940 117.93  43.48
D 2945 119.91  39.58
D 2950 119.91  36.47
D 2955 118.62  36.41
D 2960 118.45  31.72
D 2965 117.96  31.05
D 2970 116.68  31.81
D 2975 118.12  35.02
D 2980 118.83  37.44
D 2985 117.95  38.72
D 2990 116.46  38.38
D 2995 114.83  38.47
D 3000 114.76  41.75
D 3005 114.76  42.10
D 3010 114.76  41.97
D 3015 114.20  43.15
D 3020 114.19  42.92
D 3025 112.18  42.92
D 3030 112.18  42.54
D 3035 114.63  39.86
D 3040 118.41  40.38
D 3045 120.98  41.16
D 3050 122.61  40.76
D 3055 120.93  40.76
D 3060 120.39  42.40
D 3065 117.62  42.27
D 3070 117.66  45.63
D 3075 117.65  46.89
D 3080 121.29  47.25
D 3085 125.72  46.79
D 3090 129.07  44.76
D 3095 126.45  44.71
D 3100 126.56  45.51
D 3105 126.56  45.99
D 3110 125.87  43.50
D 3115 121.57  43.46
D 3120 121.52  44.03
D 3125 121.09  39.41
D 3130 121.55  36.62
D 3135 123.13  35.65
D 3140 122.72  36.14
D 3145 123.13  38.73
D 3150 130.42  37.53
D 3155 135.13  36.19
D 3160 135.13  36.19
D 3165 135.86  38.79
D 3170 135.85  40.12
D 3175 137.86  39.60
D 3180 134.24  40.38
D 3185 132.21  40.63
D 3190 128.57  39.01
D 3195 130.15  36.58
D 3200 132.01  36.83
D 3205 129.36  36.59
D 3210 129.54  38.73
D 3215 130.38  40.60
D 3220 130.39  40.60
D 3225 128.61  41.80
D 3230 128.08  39.43
D 3235 126.53  37.60
D 3240 126.43  36.65
D 3245 127.42  36.65
