S 25/09/01 12:17:09
D 1300  13.89  42.24
D 1305   9.78  41.94
D 1310   8.36  39.73
D 1315   8.43  41.27
D 1320   7.10  41.23
D 1325   5.75  39.65
D 1330   7.05  37.01
D 1335   9.55  38.57
D 1340   9.53  43.42
D 1345  10.88  44.63
D 1350  10.83  47.70
D 1355  13.05  47.82
D 1360  15.84  46.29
D 1365  11.75  45.07
D 1370  10.69  44.84
D 1375   9.07  39.92
D 1380   6.07  39.54
D 1385   6.12  43.38
D 1390   7.24  44.39
D 1395  10.97  43.61
D 1400  11.56  44.00
D 1405  11.59  43.66
D 1410  14.70  41.02
D 1415  19.43  42.20
D 1420  19.23  41.14
D 1425  20.90  41.13
D 1430  19.74  41.27
D 1435  12.81  42.00
D 1440   7.77  43.29
D 1445   9.68  44.83
D 1450  13.40  45.87
D 1455  16.36  46.51
D 1460  16.64  46.30
D 1465  16.41  42.55
D 1470  17.71  42.43
D 1475  16.33  42.92
D 1480  11.77  42.56
D 1485   9.09  41.75
D 1490   8.99  42.68
D 1495   9.91  45.23
D 1500  12.92  47.25
D 1505  16.51  46.37
D 1510  12.99  46.08
D 1515   6.04  44.71
D 1520   2.50  42.95
D 1525   6.03  42.41
D 1530   7.49  43.02
D 1535   6.05  45.13
D 1540   9.80  47.03
D 1545   6.45  46.00
D 1550   1.73  47.62
D 1555   0.50  48.23
D 1560   5.61  48.21
D 1565  15.56  46.24
D 1570  14.84  48.77
D 1575   9.12  48.26
D 1580   8.30  46.53
D 1585   6.41  46.24
D 1590   4.21  46.30
D 1595   5.35  45.82
D 1600   8.92  47.01
D 1605   5.38  45.12
D 1610   3.17  44.40
D 1615   5.34  42.75
D 1620   7.28  43.15
D 1625  10.75  40.48
D 1630  14.35  38.98
D 1635  16.63  40.70
D 1640  19.01  41.06
D 1645  18.18  42.07
D 1650  14.40  43.33
D 1655  13.71  42.92
D 1660  13.93  43.37
D 1665  14.07  44.18
D 1670  14.20  46.06
D 1675  16.96  45.36
D 1680  17.62  45.42
D 1685  18.24  46.43
D 1690  21.04  43.06
D 1695  25.51  40.88
D 1700  28.06  39.69
D 1705  24.04  39.67
D 1710  19.78  41.56
D 1715  15.35  39.45
D 1720  17.77  39.42
D 1725  16.35  39.47
D 1730  18.37  42.07
D 1735  14.55  43.15
D 1740  12.25  43.00
D 1745  11.19  45.49
D 1750  14.49  44.90
D 1755  15.73  44.43
D 1760  16.75  39.32
D 1765  17.15  39.15
D 1770  17.75  39.54
D 1775  17.28  41.13
D 1780  18.16  41.23
D 1785  18.80  43.87
D 1790  15.30  45.36
D 1795   8.88  47.20
D 1800   7.15  46.51
D 1805  14.32  48.36
D 1810  17.55  47.32
D 1815  18.95  44.25
D 1820  20.77  42.37
D 1825  18.55  42.11
D 1830  16.40  44.73
D 1835  15.21  45.03
D 1840  17.14  42.12
D 1845  20.49  42.33
D 1850  22.05  43.05
D 1855  15.39  42.91
D 1860   9.41  42.52
D 1865   7.33  38.61
D 1870  11.27  39.83
D 1875  18.81  39.36
D 1880  23.03  39.35
D 1885  20.25  45.07
D 1890  12.45  47.61
D 1895   8.79  43.68
D 1900   7.62  43.97
D 1905   8.02  45.96
D 1910 359.10  46.06
D 1915 352.86  44.93
D 1920 358.36  45.46
D 1925   5.13  45.26
D 1930  12.02  44.23
D 1935  15.65  44.64
D 1940  11.99  44.64
D 1945  10.35  42.12
D 1950   9.13  42.72
D 1955   8.46  41.82
D 1960  14.85  41.23
D 1965  15.37  41.23
D 1970  11.87  43.75
D 1975  11.30  43.70
D 1980   8.06  43.70
D 1985  16.93  43.70
D 1990  21.05  43.70
D 1995  24.07  42.33
D 2000  23.12  41.60
D 2005  25.76  43.23
D 2010  28.06  43.95
D 2015  24.95  46.49
D 2020  25.55  47.24
D 2025  27.56  46.62
D 2030  27.03  48.11
D 2035  27.61  48.31
D 2040  30.47  47.23
D 2045  31.40  44.08
D 2050  30.98  42.48
D 2055  28.89  40.53
D 2060  27.05  41.45
D 2065  23.89  43.30
D 2070  24.96  42.12
D 2075  24.96  41.51
D 2080  25.48  42.46
D 2085  24.75  48.02
D 2090  22.95  49.26
D 2095  22.12  51.58
D 2100  25.78  50.53
D 2105  30.87  54.55
D 2110  32.70  52.22
D 2115  31.40  52.03
D 2120  28.57  47.24
D 2125  26.45  46.49
D 2130  23.77  46.10
D 2135  17.24  44.49
D 2140  16.14  44.67
D 2145  18.73  44.78
D 2150  19.11  45.02
D 2155  18.46  45.92
D 2160   9.09  46.13
D 2165   2.55  43.19
D 2170   0.81  40.97
D 2175   3.12  40.48
D 2180   8.08  39.91
D 2185   7.28  39.91
D 2190  11.28  40.65
D 2195  11.77  41.13
D 2200  11.76  39.53
D 2205  13.50  39.10
D 2210  17.38  39.10
D 2215  20.03  39.10
D 2220  22.55  39.11
D 2225  18.38  39.70
D 2230  11.04  44.38
D 2235   4.71  46.82
D 2240   3.23  46.95
D 2245   3.84  45.98
D 2250   4.56  45.65
D 2255   8.29  41.88
D 2260   9.61  39.98
D 2265  10.66  38.78
D 2270  15.00  36.13
D 2275  16.05  36.13
D 2280  15.91  37.33
D 2285  15.71  37.97
D 2290  14.96  37.45
D 2295  14.75  36.10
D 2300  19.46  36.00
D 2305  21.66  37.87
D 2310  19.11  40.72
D 2315  17.55  44.04
D 2320  15.16  45.63
D 2325  17.85  46.20
D 2330  19.39  45.94
D 2335  20.03  45.78
D 2340  17.92  47.50
D 2345  12.97  46.51
