#=1440
$FirstDateTime=27.08.2025 00:00:00
$JSDBaseDateTime=27.03.1995 00:00:00
$FirstJSD=959990400
$TimeLagSec=60
$DefaultValue=99999
$Names=DATE;TIME;PTB_LAT;PTB_LON;PTB_ALT;PTB_SMP;PTB_P
27.08.2025;00:00;;;;5.55;1010.134
27.08.2025;00:01;;;;5.55;1010.112
27.08.2025;00:02;;;;5.55;1010.093
27.08.2025;00:03;;;;5.55;1010.073
27.08.2025;00:04;;;;5.55;1010.053
27.08.2025;00:05;;;;5.5667;1010.038
27.08.2025;00:06;;;;5.55;1010.035
27.08.2025;00:07;;;;5.55;1010.032
27.08.2025;00:08;;;;5.55;1010.022
27.08.2025;00:09;;;;5.55;1010.013
27.08.2025;00:10;;;;5.55;1010.017
27.08.2025;00:11;;;;5.55;1010.02
27.08.2025;00:12;;;;5.55;1010.03
27.08.2025;00:13;;;;5.5667;1010.049
27.08.2025;00:14;;;;5.55;1010.065
27.08.2025;00:15;;;;5.55;1010.076
27.08.2025;00:16;;;;5.55;1010.092
27.08.2025;00:17;;;;5.55;1010.102
27.08.2025;00:18;;;;5.55;1010.113
27.08.2025;00:19;;;;5.55;1010.125
27.08.2025;00:20;;;;5.5667;1010.125
27.08.2025;00:21;;;;5.55;1010.125
27.08.2025;00:22;;;;5.55;1010.128
27.08.2025;00:23;;;;5.55;1010.12
27.08.2025;00:24;;;;5.55;1010.116
27.08.2025;00:25;;;;5.55;1010.107
27.08.2025;00:26;;;;5.55;1010.095
27.08.2025;00:27;;;;5.55;1010.084
27.08.2025;00:28;;;;5.55;1010.075
27.08.2025;00:29;;;;5.55;1010.088
27.08.2025;00:30;;;;5.5667;1010.088
27.08.2025;00:31;;;;5.55;1010.075
27.08.2025;00:32;;;;5.55;1010.055
27.08.2025;00:33;;;;5.55;1010.024
27.08.2025;00:34;;;;5.55;1010.01
27.08.2025;00:35;;;;5.55;1010.006
27.08.2025;00:36;;;;5.55;1009.993
27.08.2025;00:37;;;;5.55;1009.993
27.08.2025;00:38;;;;5.55;1009.985
27.08.2025;00:39;;;;5.55;1009.982
27.08.2025;00:40;;;;5.5667;1009.992
27.08.2025;00:41;;;;5.55;1010.009
27.08.2025;00:42;;;;5.55;1010.006
27.08.2025;00:43;;;;5.55;1010.003
27.08.2025;00:44;;;;5.55;1009.995
27.08.2025;00:45;;;;5.55;1009.982
27.08.2025;00:46;;;;5.55;1009.97
27.08.2025;00:47;;;;5.55;1009.947
27.08.2025;00:48;;;;5.55;1009.922
27.08.2025;00:49;;;;5.5667;1009.918
27.08.2025;00:50;;;;5.55;1009.924
27.08.2025;00:51;;;;5.55;1009.909
27.08.2025;00:52;;;;5.55;1009.893
27.08.2025;00:53;;;;5.55;1009.875
27.08.2025;00:54;;;;5.55;1009.863
27.08.2025;00:55;;;;5.5667;1009.854
27.08.2025;00:56;;;;5.55;1009.858
27.08.2025;00:57;;;;5.55;1009.862
27.08.2025;00:58;;;;5.55;1009.856
27.08.2025;00:59;;;;5.55;1009.85
27.08.2025;01:00;;;;5.55;1009.837
27.08.2025;01:01;;;;5.5667;1009.826
27.08.2025;01:02;;;;5.55;1009.825
27.08.2025;01:03;;;;5.55;1009.81
27.08.2025;01:04;;;;5.55;1009.8
27.08.2025;01:05;;;;5.55;1009.796
27.08.2025;01:06;;;;5.55;1009.785
27.08.2025;01:07;;;;5.55;1009.776
27.08.2025;01:08;;;;5.5667;1009.767
27.08.2025;01:09;;;;5.55;1009.756
27.08.2025;01:10;;;;5.55;1009.731
27.08.2025;01:11;;;;5.55;1009.723
27.08.2025;01:12;;;;5.55;1009.726
27.08.2025;01:13;;;;5.55;1009.738
27.08.2025;01:14;;;;5.55;1009.742
27.08.2025;01:15;;;;5.55;1009.754
27.08.2025;01:16;;;;5.55;1009.759
27.08.2025;01:17;;;;5.55;1009.77
27.08.2025;01:18;;;;5.5667;1009.78
27.08.2025;01:19;;;;5.55;1009.786
27.08.2025;01:20;;;;5.55;1009.779
27.08.2025;01:21;;;;5.55;1009.78
27.08.2025;01:22;;;;5.55;1009.775
27.08.2025;01:23;;;;5.55;1009.77
27.08.2025;01:24;;;;5.55;1009.767
27.08.2025;01:25;;;;5.55;1009.764
27.08.2025;01:26;;;;5.5667;1009.76
27.08.2025;01:27;;;;5.55;1009.757
27.08.2025;01:28;;;;5.55;1009.762
27.08.2025;01:29;;;;5.55;1009.764
27.08.2025;01:30;;;;5.55;1009.766
27.08.2025;01:31;;;;5.55;1009.758
27.08.2025;01:32;;;;5.55;1009.751
27.08.2025;01:33;;;;5.55;1009.734
27.08.2025;01:34;;;;5.5667;1009.726
27.08.2025;01:35;;;;5.55;1009.714
27.08.2025;01:36;;;;5.55;1009.689
27.08.2025;01:37;;;;5.55;1009.662
27.08.2025;01:38;;;;5.55;1009.635
27.08.2025;01:39;;;;5.55;1009.619
27.08.2025;01:40;;;;5.55;1009.603
27.08.2025;01:41;;;;5.55;1009.586
27.08.2025;01:42;;;;5.55;1009.576
27.08.2025;01:43;;;;5.5667;1009.574
27.08.2025;01:44;;;;5.55;1009.562
27.08.2025;01:45;;;;5.55;1009.555
27.08.2025;01:46;;;;5.55;1009.554
27.08.2025;01:47;;;;5.55;1009.545
27.08.2025;01:48;;;;5.55;1009.539
27.08.2025;01:49;;;;5.55;1009.533
27.08.2025;01:50;;;;5.55;1009.521
27.08.2025;01:51;;;;5.5667;1009.509
27.08.2025;01:52;;;;5.55;1009.49
27.08.2025;01:53;;;;5.55;1009.488
27.08.2025;01:54;;;;5.55;1009.482
27.08.2025;01:55;;;;5.55;1009.47
27.08.2025;01:56;;;;5.55;1009.456
