time,"coordinates [x,y]",elevation,azimuth
20250829_095410,"[1717, 1168]",239,345
20250829_095420,"[1704, 1138]",237,347
20250829_095430,"[1725, 1125]",239,348
20250829_095440,"[1730, 1128]",240,348
20250829_095450,"[1706, 1152]",238,346
20250829_095500,"[1727, 1130]",240,348
20250829_095510,"[1744, 1141]",242,347
20250829_095520,"[1741, 1117]",241,349
20250829_095530,"[1729, 1079]",239,351
20250829_095540,"[1732, 1053]",239,353
20250829_095550,"[1713, 1069]",237,352
20250829_095600,"[1723, 1106]",238,349
20250829_095610,"[1725, 1092]",238,350
20250829_095620,"[1709, 1114]",237,348
20250829_095630,"[1662, 1151]",232,345
20250829_095640,"[1688, 1150]",235,345
20250829_095650,"[1701, 1152]",237,345
20250829_095700,"[1728, 1145]",240,346
20250829_095710,"[1719, 1119]",238,348
20250829_095720,"[1714, 1149]",239,346
20250829_095730,"[1715, 1151]",239,346
20250829_095740,"[1722, 1174]",240,344
20250829_095750,"[1687, 1193]",237,342
20250829_095800,"[1658, 1206]",234,341
20250829_095810,"[1681, 1175]",235,343
20250829_095820,"[1688, 1157]",236,345
20250829_095830,"[1695, 1156]",237,345
20250829_095840,"[1716, 1115]",238,348
20250829_095850,"[1735, 1128]",240,348
20250829_095900,"[1762, 1114]",243,349
20250829_095910,"[1745, 1148]",242,347
20250829_095920,"[1690, 1150]",236,345
20250829_095930,"[1666, 1160]",233,344
20250829_095940,"[1669, 1205]",235,341
20250829_095950,"[1671, 1208]",236,341
20250829_100000,"[1661, 1228]",235,339
20250829_100010,"[1661, 1215]",235,340
20250829_100020,"[1690, 1200]",237,342
20250829_100030,"[1698, 1194]",238,342
20250829_100040,"[1706, 1186]",239,343
20250829_100050,"[1669, 1160]",234,344
20250829_100100,"[1672, 1181]",235,343
20250829_100110,"[1704, 1195]",239,342
20250829_100120,"[1715, 1174]",239,344
20250829_100130,"[1690, 1178]",237,343
20250829_100140,"[1650, 1156]",231,344
20250829_100150,"[1671, 1121]",233,347
20250829_100200,"[1691, 1116]",235,348
20250829_100210,"[1714, 1149]",239,346
20250829_100220,"[1718, 1175]",240,344
20250829_100230,"[1718, 1163]",239,345
20250829_100240,"[1725, 1152]",240,346
20250829_100250,"[1695, 1134]",236,347
20250829_100300,"[1695, 1152]",236,345
20250829_100310,"[1711, 1164]",239,345
20250829_100320,"[1731, 1127]",240,348
20250829_100330,"[1728, 1125]",240,348
20250829_100340,"[1728, 1119]",239,348
20250829_100350,"[1737, 1122]",241,348
20250829_100400,"[1736, 1125]",240,348
20250829_100410,"[1743, 1115]",241,349
20250829_100420,"[1735, 1091]",240,350
20250829_100430,"[1735, 1081]",239,351
20250829_100440,"[1704, 1071]",235,352
20250829_100450,"[1715, 1116]",238,348
20250829_100500,"[1737, 1141]",241,347
20250829_100510,"[1763, 1144]",244,347
20250829_100520,"[1772, 1117]",245,349
20250829_100530,"[1793, 1084]",246,352
20250829_100540,"[1791, 1050]",246,354
20250829_100550,"[1802, 1018]",247,356
20250829_100600,"[1775, 1018]",243,356
20250829_100610,"[1785, 1023]",245,356
20250829_100620,"[1796, 1016]",246,356
20250829_100630,"[1791, 1012]",245,356
20250829_100640,"[1773, 1005]",243,357
20250829_100650,"[1754, 989]",241,358
20250829_100700,"[1716, 999]",236,357
20250829_100710,"[1660, 1083]",230,350
20250829_100720,"[1637, 1108]",228,348
20250829_100730,"[1663, 1130]",232,346
20250829_100740,"[1696, 1127]",236,347
20250829_100750,"[1725, 1119]",239,348
20250829_100800,"[1749, 1092]",241,351
20250829_100810,"[1776, 1048]",244,354
20250829_100820,"[1792, 1024]",245,356
20250829_100830,"[1810, 1016]",248,356
20250829_100840,"[1807, 1010]",247,357
20250829_100850,"[1816, 1016]",248,356
20250829_100900,"[1809, 1039]",248,355
20250829_100910,"[1801, 1028]",247,355
20250829_100920,"[1809, 1034]",248,355
20250829_100930,"[1786, 1044]",245,354
20250829_100940,"[1759, 1035]",242,355
20250829_100950,"[1717, 1080]",237,351
20250829_101000,"[1744, 1045]",240,354
20250829_101010,"[1768, 1034]",243,355
20250829_101020,"[1764, 1096]",243,350
20250829_101030,"[1754, 1079]",242,351
20250829_101040,"[1747, 1077]",241,352
20250829_101050,"[1759, 1085]",242,351
20250829_101100,"[1746, 1084]",241,351
20250829_101110,"[1735, 1030]",239,355
20250829_101120,"[1747, 1008]",240,357
20250829_101130,"[1730, 1015]",238,356
20250829_101140,"[1701, 1053]",235,353
20250829_101150,"[1727, 1007]",237,356
20250829_101200,"[1732, 989]",238,358
20250829_101210,"[1703, 976]",234,359
20250829_101220,"[1672, 996]",231,357
20250829_101230,"[1645, 1010]",228,356
20250829_101240,"[1641, 1041]",227,353
20250829_101250,"[1660, 1027]",230,355
20250829_101300,"[1691, 1034]",233,354
20250829_101310,"[1703, 1048]",235,353
20250829_101320,"[1719, 998]",236,357
20250829_101330,"[1717, 993]",236,358
20250829_101340,"[1729, 988]",238,358
20250829_101350,"[1736, 975]",238,359
20250829_101400,"[1744, 955]",239,0
20250829_101410,"[1751, 962]",240,360
20250829_101420,"[1767, 955]",242,0
20250829_101430,"[1759, 952]",241,1
20250829_101440,"[1753, 907]",241,4
20250829_101450,"[1729, 900]",238,4
20250829_101500,"[1732, 931]",238,2
20250829_101510,"[1740, 975]",239,359
20250829_101520,"[1703, 1005]",235,357
20250829_101530,"[1706, 999]",235,357
20250829_101540,"[1716, 980]",236,358
20250829_101550,"[1715, 986]",236,358
20250829_101600,"[1706, 1019]",235,355
20250829_101610,"[1694, 989]",233,358
20250829_101620,"[1725, 1011]",237,356
20250829_101630,"[1743, 1047]",240,354
20250829_101640,"[1743, 1076]",240,352
20250829_101650,"[1754, 1045]",241,354
20250829_101700,"[1749, 1034]",240,355
20250829_101710,"[1728, 1034]",238,354
20250829_101720,"[1725, 1040]",238,354
20250829_101730,"[1732, 1048]",238,353
20250829_101740,"[1740, 1061]",240,353
20250829_101750,"[1721, 1041]",237,354
20250829_101800,"[1725, 1034]",237,354
20250829_101810,"[1726, 998]",237,357
20250829_101820,"[1710, 1037]",236,354
20250829_101830,"[1735, 1053]",239,353
20250829_101840,"[1735, 1056]",239,353
20250829_101850,"[1712, 1052]",236,353
20250829_101900,"[1700, 1049]",235,353
20250829_101910,"[1645, 1020]",228,355
20250829_101920,"[1633, 1021]",226,355
20250829_101930,"[1663, 1068]",230,351
20250829_101940,"[1712, 1043]",236,354
20250829_101950,"[1741, 1024]",239,355
20250829_102000,"[1746, 1005]",240,357
20250829_102010,"[1701, 1049]",235,353
20250829_102020,"[1682, 1084]",233,350
20250829_102030,"[1699, 1083]",235,351
20250829_102040,"[1702, 1026]",235,355
20250829_102050,"[1712, 1035]",236,354
20250829_102100,"[1717, 1055]",237,353
20250829_102110,"[1718, 1061]",237,352
20250829_102120,"[1709, 1034]",236,354
20250829_102130,"[1677, 1037]",232,354
20250829_102140,"[1695, 1038]",234,354
20250829_102150,"[1682, 1063]",233,352
20250829_102200,"[1671, 1093]",232,349
20250829_102210,"[1684, 1043]",233,353
20250829_102220,"[1702, 1019]",235,355
20250829_102230,"[1714, 1000]",236,357
20250829_102240,"[1705, 991]",235,358
20250829_102250,"[1658, 949]",229,1
20250829_102300,"[1628, 918]",225,4
20250829_102310,"[1669, 882]",231,6
20250829_102320,"[1706, 898]",235,5
20250829_102330,"[1732, 931]",238,2
20250829_102340,"[1744, 965]",239,360
20250829_102350,"[1733, 1023]",238,355
20250829_102400,"[1710, 1064]",236,352
20250829_102410,"[1716, 1074]",237,351
20250829_102420,"[1730, 1062]",238,352
20250829_102430,"[1716, 1068]",237,352
20250829_102440,"[1708, 1045]",236,354
20250829_102450,"[1733, 1005]",238,357
20250829_102500,"[1727, 985]",237,358
20250829_102510,"[1762, 965]",242,360
20250829_102520,"[1768, 986]",242,358
20250829_102530,"[1777, 999]",243,357
20250829_102540,"[1781, 1004]",244,357
20250829_102550,"[1775, 999]",243,357
20250829_102600,"[1731, 982]",238,358
20250829_102610,"[1736, 988]",238,358
20250829_102620,"[327, 1504]",246,221
20250829_102630,"[1759, 1013]",241,356
20250829_102640,"[1789, 980]",245,359
20250829_102650,"[1791, 949]",245,1
20250829_102700,"[1759, 963]",241,360
20250829_102710,"[1760, 985]",241,358
20250829_102720,"[1748, 1007]",240,357
20250829_102730,"[1759, 1026]",242,355
20250829_102740,"[1764, 1047]",242,354
20250829_102750,"[1755, 1083]",242,351
20250829_102800,"[852, 1798]",247,263
20250829_102810,"[1741, 1124]",241,348
20250829_102820,"[1733, 1120]",240,348
20250829_102830,"[1751, 1098]",242,350
20250829_102840,"[1776, 1050]",244,354
20250829_102850,"[1778, 1040]",244,354
20250829_102900,"[1760, 1055]",242,353
20250829_102910,"[1760, 1103]",243,350
20250829_102920,"[1704, 1119]",237,348
20250829_102930,"[1708, 1087]",236,350
20250829_102940,"[1732, 1075]",239,352
20250829_102950,"[1754, 1033]",241,355
20250829_103000,"[1727, 1016]",238,356
20250829_103010,"[1717, 989]",236,358
20250829_103020,"[1735, 981]",238,358
20250829_103030,"[1664, 983]",230,358
20250829_103040,"[1649, 1028]",228,354
20250829_103050,"[1608, 1052]",224,352
20250829_103100,"[1578, 1032]",220,353
20250829_103110,"[1608, 1052]",224,352
20250829_103120,"[1594, 1077]",222,350
20250829_103130,"[1572, 1023]",219,354
20250829_103140,"[1612, 1076]",225,350
20250829_103150,"[1653, 1074]",229,351
20250829_103200,"[1628, 1071]",226,351
20250829_103210,"[1570, 1083]",220,349
20250829_103220,"[1628, 1039]",226,353
20250829_103230,"[1635, 1021]",226,355
20250829_103240,"[1673, 1028]",231,355
20250829_103250,"[1651, 1073]",229,351
20250829_103300,"[1633, 1100]",228,348
20250829_103310,"[1627, 1022]",225,355
20250829_103320,"[1648, 1021]",228,355
20250829_103330,"[1690, 1066]",234,352
20250829_103340,"[1726, 1069]",238,352
20250829_103350,"[1755, 1080]",242,351
20250829_103400,"[1722, 1127]",239,348
20250829_103410,"[1744, 1138]",242,347
20250829_103420,"[1733, 1114]",240,349
20250829_103430,"[1741, 1080]",240,351
20250829_103440,"[1773, 1010]",243,356
20250829_103450,"[1783, 1016]",244,356
20250829_103500,"[1785, 999]",244,357
20250829_103510,"[1802, 1018]",247,356
20250829_103520,"[1816, 1014]",248,356
20250829_103530,"[1802, 1038]",247,355
