time,"coordinates [x,y]",elevation,azimuth
20250903_134320,"[821, 1393]",52,252
20250903_134330,"[881, 1371]",55,259
20250903_134340,"[862, 1374]",54,257
20250903_134350,"[842, 1330]",57,252
20250903_134400,"[858, 1336]",57,255
20250903_134410,"[949, 1327]",59,268
20250903_134420,"[892, 1279]",63,258
20250903_134430,"[903, 1318]",60,261
20250903_134440,"[942, 1396]",53,268
20250903_134450,"[1027, 626]",62,79
20250903_134500,"[1322, 519]",42,51
20250903_134510,"[757, 1478]",43,249
20250903_134520,"[862, 1418]",50,258
20250903_134530,"[937, 1365]",56,267
20250903_134540,"[902, 1385]",54,262
20250903_134550,"[891, 1375]",55,261
20250903_134600,"[874, 1333]",58,257
20250903_134610,"[889, 1319]",59,259
20250903_134620,"[889, 1351]",57,260
20250903_134630,"[890, 1332]",58,259
20250903_134640,"[960, 1351]",57,270
20250903_134650,"[948, 1336]",58,268
20250903_134700,"[973, 1266]",64,272
20250903_134710,"[976, 1251]",66,273
20250903_134720,"[924, 1300]",61,264
20250903_134730,"[922, 1316]",60,264
20250903_134740,"[859, 1257]",64,251
20250903_134750,"[888, 1271]",63,257
20250903_134800,"[943, 1301]",61,267
20250903_134810,"[951, 1348]",57,269
20250903_134820,"[970, 1381]",55,271
20250903_134830,"[985, 1374]",55,273
20250903_134840,"[974, 1379]",55,272
20250903_134850,"[983, 1366]",56,273
20250903_134900,"[522, 639]",44,144
20250903_134910,"[582, 532]",42,131
20250903_134920,"[636, 538]",45,128
20250903_134930,"[626, 610]",49,134
20250903_134940,"[704, 568]",50,123
20250903_134950,"[487, 680]",43,149
20250903_135000,"[519, 746]",49,154
20250903_135010,"[1104, 495]",49,73
20250903_135020,"[535, 831]",53,163
20250903_135030,"[202, 920]",24,177
20250903_135040,"[555, 921]",56,174
20250903_135050,"[759, 741]",65,133
20250903_135100,"[843, 1497]",43,258
20250903_135110,"[842, 1515]",42,258
20250903_135120,"[862, 1520]",42,260
20250903_135130,"[874, 1008]",82,209
20250903_135140,"[1092, 463]",46,75
20250903_135150,"[669, 614]",52,130
20250903_135200,"[1076, 1483]",45,283
20250903_135210,"[1160, 1436]",46,293
20250903_135220,"[695, 837]",66,155
20250903_135230,"[679, 784]",62,148
20250903_135240,"[708, 783]",64,145
20250903_135250,"[697, 908]",68,169
20250903_135300,"[807, 470]",47,107
20250903_135310,"[835, 464]",47,104
20250903_135320,"[846, 494]",49,104
20250903_135330,"[720, 1457]",43,244
20250903_135340,"[842, 615]",59,109
20250903_135350,"[765, 1499]",41,250
20250903_135400,"[820, 445]",45,105
20250903_135410,"[843, 469]",47,103
20250903_135420,"[858, 394]",41,100
20250903_135430,"[875, 423]",44,99
20250903_135440,"[769, 1450]",45,249
20250903_135450,"[800, 1456]",46,252
20250903_135500,"[896, 510]",52,98
20250903_135510,"[510, 408]",29,129
20250903_135520,"[945, 1388]",54,268
20250903_135530,"[919, 1415]",51,265
