time,elevation_angle
2025-09-03 08:48:09.700980992,44.159326307095384
2025-09-03 08:48:37.630952960,49.33192528351595
2025-09-03 08:49:05.570969088,53.3250345256154
2025-09-03 08:49:33.501024000,46.806234134025075
2025-09-03 08:50:01.430974976,45.87881510160819
2025-09-03 08:50:45.600985088,43.27822919318764
2025-09-03 08:51:13.531052032,40.849177440080425
2025-09-03 08:51:41.470956032,69.66607947346738
2025-09-03 08:52:09.400969984,46.05625004107907
2025-09-03 08:52:37.330993920,45.77808097748109
2025-09-03 08:53:05.270951936,44.03205806300783
2025-09-03 08:53:33.200967168,43.43306746265326
2025-09-03 08:54:01.130959104,48.231462018791994
2025-09-03 08:54:29.060945152,81.05665272497184
2025-09-03 08:54:57.000989952,44.70438915517222
2025-09-03 08:55:35.440953856,44.501071121993775
2025-09-03 08:56:03.370953984,48.49959122295391
2025-09-03 08:56:31.310950144,46.840622135104404
2025-09-03 08:56:59.240953856,44.84412016808102
2025-09-03 08:57:27.170962944,46.659480271095056
2025-09-03 08:57:55.110932224,40.99323772968255
2025-09-03 08:58:23.040955904,43.79130428780933
2025-09-03 08:58:50.970948096,46.08854120022047
2025-09-03 08:59:18.900983040,47.94380632039604
2025-09-03 08:59:46.840950016,47.40033690180645
2025-09-03 09:00:16.950939904,70.40912781915563
2025-09-03 09:00:44.890981888,46.46975966432189
2025-09-03 09:01:12.820979200,46.12230589416137
2025-09-03 09:01:40.760955136,45.70778902304843
2025-09-03 09:02:08.700974080,49.45949269480779
2025-09-03 09:02:36.630958080,46.09783343765299
2025-09-03 09:03:04.570971136,46.57089315351604
2025-09-03 09:03:32.511044096,44.70287130980999
2025-09-03 09:04:00.440956160,67.08989216912401
2025-09-03 09:04:28.380951808,46.667616782025156
2025-09-03 09:04:56.320945920,42.7604562535611
2025-09-03 09:05:31.460950016,48.956403983398175
2025-09-03 09:05:59.400968192,43.980870476379984
2025-09-03 09:06:27.340958976,49.68638119256414
2025-09-03 09:06:55.270950912,46.590773771694245
2025-09-03 09:07:23.210962176,48.09346624511916
2025-09-03 09:07:51.150913024,47.725567646241515
2025-09-03 09:08:19.090977792,50.26983092151822
2025-09-03 09:08:47.021053184,51.56107418004467
2025-09-03 09:09:14.960964864,45.46629232517272
2025-09-03 09:09:42.900988928,35.69569644773194
2025-09-03 09:10:11.440947968,48.67652319211441
2025-09-03 09:10:39.380947968,47.53144707313648
2025-09-03 09:11:07.311024896,44.09199693503745
2025-09-03 09:11:35.250947072,44.731642848304105
2025-09-03 09:12:03.180993024,33.084197479182116
2025-09-03 09:12:31.120958208,44.20321879794722
2025-09-03 09:12:59.050946048,46.38633528404224
2025-09-03 09:13:26.980953856,35.16785426745749
2025-09-03 09:13:54.920943872,46.34969318384484
2025-09-03 09:14:22.850963968,44.6384326653988
2025-09-03 09:14:50.780988928,44.92680263554207
2025-09-03 09:15:21.840954112,45.2209357616328
2025-09-03 09:15:49.770972928,53.595130091991045
2025-09-03 09:16:17.701025024,54.5295765146843
2025-09-03 09:16:45.630951936,46.696653216910754
2025-09-03 09:17:13.570984960,43.50248293489686
2025-09-03 09:17:41.501105920,42.578555126759454
2025-09-03 09:18:09.430949888,64.85305127264188
2025-09-03 09:18:37.360964096,43.46410734367801
2025-09-03 09:19:05.300978944,48.27745712662588
2025-09-03 09:19:33.230968832,42.36601394629624
2025-09-03 09:20:01.170960896,44.954324804627745
2025-09-03 09:20:46.741005056,41.584563443335234
2025-09-03 09:21:14.680946176,43.88941872809248
2025-09-03 09:21:42.610961920,40.49764700033322
2025-09-03 09:22:10.551052032,42.95978892296561
2025-09-03 09:22:38.480954880,66.56262808537515
2025-09-03 09:23:06.420952064,43.13004511815227
2025-09-03 09:23:34.350960896,44.49202941266549
2025-09-03 09:24:02.280945152,46.06416532258775
2025-09-03 09:24:30.221057024,44.743173178137
2025-09-03 09:24:58.150987008,44.518232864578906
2025-09-03 09:25:36.591010048,44.340389325206075
2025-09-03 09:26:04.521073152,37.65732629924405
2025-09-03 09:26:32.451107072,42.735937745946714
2025-09-03 09:27:00.371116032,45.00888937867981
2025-09-03 09:27:28.301059072,51.08008169628471
2025-09-03 09:27:56.231087872,44.71992563821037
2025-09-03 09:28:24.161127936,35.41360324923867
2025-09-03 09:28:52.081026048,51.34645287405113
2025-09-03 09:29:20.011104000,41.56826325243105
2025-09-03 09:29:47.941068800,42.23493537786151
2025-09-03 09:30:17.051072000,45.77889163010514
2025-09-03 09:30:44.981100032,45.7208663475693
2025-09-03 09:31:12.911091968,40.09331911415511
2025-09-03 09:31:40.831129088,42.574892025121066
2025-09-03 09:32:08.761136128,48.4718430932477
2025-09-03 09:32:36.691149824,71.65375054326539
2025-09-03 09:33:04.620951040,45.184033539053445
2025-09-03 09:33:32.531016192,44.40706631757928
2025-09-03 09:34:00.440952064,40.73577868264437
2025-09-03 09:34:28.340954112,41.9550919647209
2025-09-03 09:34:56.230979072,47.54935685082572
2025-09-03 09:35:31.350958080,44.25986289865852
2025-09-03 09:35:59.280950016,45.65861716014974
2025-09-03 09:36:27.200971008,43.213735144031375
2025-09-03 09:36:55.110987776,45.090998178770874
2025-09-03 09:37:23.020966144,40.59337935030403
2025-09-03 09:37:50.950976000,42.73619246578177
2025-09-03 09:38:18.880994048,42.86524076197266
2025-09-03 09:38:46.810960128,48.06796322597628
2025-09-03 09:39:14.741046016,45.12156509783619
2025-09-03 09:39:42.670952192,44.041745565518795
2025-09-03 09:40:12.611015168,45.95293069521274
2025-09-03 09:40:40.541065984,46.38911973855501
