time,elevation_angle
2025-09-01 12:17:21.050699008,45.92000178528425
2025-09-01 12:17:48.980739072,51.21472943105511
2025-09-01 12:18:16.910660096,41.65224893576739
2025-09-01 12:18:44.840670976,44.79195718935214
2025-09-01 12:19:12.770668032,51.172488457356664
2025-09-01 12:19:40.700686080,39.00908030330388
2025-09-01 12:20:09.090720000,47.65870315125741
2025-09-01 12:20:38.420665856,50.99476207828728
2025-09-01 12:21:06.350678016,47.4573251310141
2025-09-01 12:21:34.280656128,74.32984699590126
2025-09-01 12:22:02.210737920,54.403580552709705
2025-09-01 12:22:30.140656896,50.76493755041928
2025-09-01 12:22:58.080704000,53.2864288787964
2025-09-01 12:23:26.010695936,72.87175840987861
2025-09-01 12:23:53.950738944,37.677339096128776
2025-09-01 12:24:21.880654080,44.00285541150338
2025-09-01 12:24:49.810672128,46.58694279627948
2025-09-01 12:25:19.680660992,46.96994348373578
2025-09-01 12:25:47.610658816,49.63978746634221
2025-09-01 12:26:15.540658944,38.13871572885562
2025-09-01 12:26:43.470668032,41.39710352387284
2025-09-01 12:27:11.390660096,42.7568744140109
2025-09-01 12:27:39.320662016,40.013888891950124
2025-09-01 12:28:07.250706944,84.80227585317505
2025-09-01 12:28:35.170690048,74.63292127703377
2025-09-01 12:29:03.100645120,65.01016980382194
2025-09-01 12:29:31.020699904,58.26891093191878
2025-09-01 12:29:58.930685952,49.65839067472032
2025-09-01 12:30:37.410669056,42.63456148738684
2025-09-01 12:31:05.340688896,62.15962850416317
2025-09-01 12:31:33.270675968,46.33883023979893
2025-09-01 12:32:01.200663040,45.966488462989275
2025-09-01 12:32:29.130647040,63.08005655568097
2025-09-01 12:32:57.060679936,36.2932198583495
2025-09-01 12:33:25.000741120,66.05438930994697
2025-09-01 12:33:52.930679040,70.41735599596636
2025-09-01 12:34:20.860688896,49.26174788894218
2025-09-01 12:34:48.800667136,43.44504275869947
2025-09-01 12:35:18.660676096,60.566696333831096
2025-09-01 12:35:46.590678016,62.98249932033278
2025-09-01 12:36:14.530648832,56.413062814921346
2025-09-01 12:36:42.460699136,46.352336544214076
2025-09-01 12:37:10.390777088,59.18981726073113
2025-09-01 12:37:38.330657024,48.826477437478005
2025-09-01 12:38:06.260685824,57.711980617802205
2025-09-01 12:38:34.190675968,46.156733109582646
2025-09-01 12:39:02.130654208,48.624871627822124
2025-09-01 12:39:30.070700800,50.15668103652803
2025-09-01 12:39:58.000726016,58.48476181321805
2025-09-01 12:40:37.860681984,45.58780959855821
2025-09-01 12:41:05.790656000,62.37211499266417
2025-09-01 12:41:33.730683136,62.77780669005122
2025-09-01 12:42:01.670659072,45.781592655690766
2025-09-01 12:42:29.610662912,33.44356038795592
2025-09-01 12:42:57.550678016,54.71962567713467
2025-09-01 12:43:25.490665984,61.4522853460899
2025-09-01 12:43:53.420676864,27.02543201367406
2025-09-01 12:44:21.360696064,69.44369957194871
2025-09-01 12:44:49.300697088,56.32683124326488
2025-09-01 12:45:19.170660096,53.39265073684088
2025-09-01 12:45:47.110672896,59.63846322617963
2025-09-01 12:46:15.050717184,62.21562283679571
2025-09-01 12:46:42.980753920,45.256524017600405
2025-09-01 12:47:10.920646912,47.42287216592857
2025-09-01 12:47:38.860704000,39.542094193467854
2025-09-01 12:48:06.800667904,37.62513412234372
2025-09-01 12:48:34.740648960,44.169576465371904
2025-09-01 12:49:02.680665856,44.99000002742711
2025-09-01 12:49:30.620673792,62.65303201144524
2025-09-01 12:49:58.560702976,59.096146607849576
2025-09-01 12:50:36.980724992,45.260280344516815
2025-09-01 12:51:04.920669184,67.1569390629027
2025-09-01 12:51:32.850717184,41.68217666161177
2025-09-01 12:52:00.770672128,42.97157413292246
2025-09-01 12:52:28.700665088,43.79669767577763
2025-09-01 12:52:56.640685056,43.2644887033164
2025-09-01 12:53:24.570683904,73.57141961705139
2025-09-01 12:53:52.510669056,61.72042651082353
2025-09-01 12:54:20.450701824,45.23948673607834
2025-09-01 12:54:48.390675968,63.98534732034754
2025-09-01 12:55:17.500683008,40.74731811102415
2025-09-01 12:55:45.440662016,69.00100689613825
2025-09-01 12:56:13.370675968,41.769988060950546
2025-09-01 12:56:41.310671104,39.7150878985171
2025-09-01 12:57:09.250674944,39.559620895358115
2025-09-01 12:57:37.180662016,47.05784844642477
2025-09-01 12:58:05.120621056,43.28306464094067
2025-09-01 12:58:33.060736768,39.79222246467396
2025-09-01 12:59:01.000721920,38.444180772844945
2025-09-01 12:59:28.930661888,44.60556927864691
2025-09-01 12:59:56.870663936,40.1987721642852
2025-09-01 13:00:36.730662144,47.89236227042016
2025-09-01 13:01:04.660764928,47.237128874900094
2025-09-01 13:01:32.600658944,37.08082917253748
2025-09-01 13:02:00.540663040,40.57920292927607
2025-09-01 13:02:28.470673152,48.06516648470211
2025-09-01 13:02:56.410664960,48.053412992566145
2025-09-01 13:03:24.350707968,41.18647314164106
2025-09-01 13:03:52.290664960,41.719879533221366
2025-09-01 13:04:20.230664960,45.170842556287255
2025-09-01 13:04:48.170664960,42.387940808957396
2025-09-01 13:05:17.290654976,47.80357300573935
2025-09-01 13:05:45.230660864,38.99456287148868
2025-09-01 13:06:13.170671104,45.63869058540683
2025-09-01 13:06:41.120637952,44.29677521448221
2025-09-01 13:07:09.070665984,40.811512365018785
2025-09-01 13:07:37.010683136,37.106902258635515
2025-09-01 13:08:04.960753920,64.79353016718048
2025-09-01 13:08:32.910674176,36.22883708564135
2025-09-01 13:09:00.860683008,33.1988845443752
2025-09-01 13:09:28.810663936,37.21900326219973
